"Index","Business Name","Email","Subject","Website","Has Website","Phone","Address","Category","Problem","Email Source","Confidence","Status"
"11","+MY NAILS | Manikīrs Rīga","ahsanshekh@instagram.com","Jautājums par +MY NAILS | Manikīrs Rīga mājaslapu","https://www.instagram.com/mynails_riga/","Yes","+371 22 504 750","Krišjāņa Valdemāra iela 45, Centra rajons, Rīga, LV-1050, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","94","ready_to_send"
"12","Nails & Pearls Manikīra studija","ahsanshekh@instagram.com","Jautājums par Nails & Pearls Manikīra studija mājaslapu","http://www.instagram.com/nails_and_pearls","Yes","+371 26 195 505","Marijas iela 23, Centra rajons, Rīga, LV-1011, Latvija","Manikīra un pedikīra salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","94","ready_to_send"
"13","GRIEZE","grieze@grieze.lv","Jautājums par GRIEZE mājaslapu","https://www.grieze.lv/","Yes","+371 20 015 220","Dzirnavu iela 91-2.korpuss, Centra rajons, Rīga, LV-1010, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","78","ready_to_send"
"14","Catrin' beauty studio","info@catrinsalons.lv","Jautājums par Catrin' beauty studio mājaslapu","http://www.catrinsalons.lv/","Yes","+371 26 351 296","Lāčplēša iela 22, Centra rajons, Rīga, LV-1010, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","85","ready_to_send"
"15","Beauty salon Skaistuma Industrija S9 / Health and beauty / Skaistumkopšanas pakalpojumi","info@s9.lv","Jautājums par Beauty salon Skaistuma Industrija S9 mājaslapu","http://s9.lv/","Yes","+371 67 282 400","Dzirnavu iela 92-2, Centra rajons, Rīga, LV-1050, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","77","ready_to_send"
"16","Skaistumkopšanas salons BBbinnija","bbbinnija@bbbinnija.lv","Jautājums par Skaistumkopšanas salons BBbinnija mājaslapu","http://www.bbbinnija.lv/","Yes","+371 67 331 727","Alberta iela 12, Centra rajons, Rīga, LV-1010, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","74","ready_to_send"
"17","INDIVIDUAL BEAUTY","ahsanshekh@instagram.com","Jautājums par INDIVIDUAL BEAUTY mājaslapu","https://www.instagram.com/individualbeautylv/","Yes","+371 20 300 880","Antonijas iela 14, Centra rajons, Rīga, LV-1050, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","94","ready_to_send"
"18","LUNA STUDIO RIGA","ahsanshekh@instagram.com","Jautājums par LUNA STUDIO RIGA mājaslapu","https://instagram.com/luna.studio.riga","Yes","+371 29 263 634","Krišjāņa Valdemāra iela 97, Centra rajons, Rīga, LV-1013, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","94","ready_to_send"
"19","SIBI beauty salon in center of Riga city","sibisalon@inbox.lv","Jautājums par SIBI beauty salon mājaslapu","https://sibisalons.versum.com/","Yes","+371 27 272 510","Jēkaba iela 26/28, Centra rajons, Rīga, LV-1050, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","scrape","40","ready_to_send"
"20","Gloria","info@gloria-salons.lv","Jautājums par Gloria mājaslapu","http://www.gloria-salons.lv/","Yes","+371 26 606 709","Rūpniecības iela 3, Centra rajons, Rīga, LV-2110, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","99","ready_to_send"
"21","VLUX","info@violetalux.lv","Jautājums par VLUX mājaslapu","https://violetalux.lv/","Yes","+371 27 731 800","Alfrēda Kalniņa iela 2, Centra rajons, Rīga, LV-1050, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","scrape","60","ready_to_send"
"22","Evitas Lucas skaistuma studija - manikīrs un pedikīrs Rīgā","ahsanshekh@instagram.com","Jautājums par Evitas Lucas skaistuma studija mājaslapu","https://www.instagram.com/evitas_lucas_skaistuma_studija?igsh=cjZ3aDBtOTNiMjB4&utm_source=qr","Yes","+371 20 390 193","Stabu iela 46/48, Centra rajons, Rīga, LV-1011, Latvija","Manikīra un pedikīra salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","hunter","94","ready_to_send"
"23","Skaistuma aģentūra , frizētava","info@skaistumaagentura.lv","Jautājums par Skaistuma aģentūra , frizētava mājaslapu","http://www.skaistumaagentura.lv/","Yes","+371 27 560 000","Bruņinieku iela 28-52, Centra rajons, Rīga, LV-1011, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","scrape","60","ready_to_send"
"24","Skaistuma Studija Milēdia","info@salonsmiledia.lv","Jautājums par Skaistuma Studija Milēdia mājaslapu","http://www.salonsmiledia.lv/","Yes","+371 29 710 551","Miera iela 82, Vidzemes priekšpilsēta, Rīga, LV-1013, Latvija","Skaistumkopšanas salons","mājaslapas dizains izskatās novecojis — potenciālie klienti, visticamāk, izvēlēsies konkurentu ar modernāku lapu","scrape","60","ready_to_send"
